epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7904,2.42816,1.90603,1.99881,0.66314,0.69912,0.67923,0.44757,2.59393,2.07493,2.0844,0.00029561,0.00029561,0.00029561
2,52.872,2.3708,1.95875,2.01438,0.64481,0.70334,0.68707,0.45312,2.56156,2.13473,2.08878,0.000592684,0.000592684,0.000592684
3,58.7086,2.43706,1.94504,2.0098,0.66267,0.66407,0.67068,0.44002,2.62353,2.0741,2.12188,0.000883758,0.000883758,0.000883758
4,64.516,2.46038,2.01238,2.06417,0.75268,0.64375,0.67912,0.44659,2.64192,2.10945,2.09508,0.000882003,0.000882003,0.000882003
5,70.2231,2.38486,1.94324,2.07239,0.69499,0.70522,0.66647,0.44674,2.63202,2.12765,2.09559,0.000873004,0.000873004,0.000873004
6,75.9974,2.43902,2.06148,2.05002,0.6856,0.65226,0.65331,0.44156,2.59848,2.15514,2.1045,0.000864004,0.000864004,0.000864004
7,81.8131,2.44425,2.04016,2.03598,0.68132,0.62772,0.66604,0.44811,2.60867,2.06366,2.12909,0.000855005,0.000855005,0.000855005
8,87.6456,2.45248,2.04449,2.05817,0.67742,0.69178,0.68389,0.43792,2.63134,2.11408,2.10925,0.000846006,0.000846006,0.000846006
9,93.3601,2.4736,1.98157,2.02138,0.66807,0.69304,0.67936,0.42944,2.58451,2.10247,2.10901,0.000837007,0.000837007,0.000837007
10,99.1824,2.38305,1.8895,1.99969,0.62864,0.68952,0.65606,0.42476,2.62467,2.11436,2.10607,0.000828008,0.000828008,0.000828008
11,105.009,2.37432,1.87708,1.99464,0.74858,0.65343,0.68859,0.45596,2.58702,2.03302,2.07893,0.000819009,0.000819009,0.000819009
12,110.768,2.39082,1.9507,1.99577,0.63951,0.6729,0.66319,0.44562,2.55546,2.04317,2.07414,0.00081001,0.00081001,0.00081001
13,116.416,2.43224,2.00707,2.03984,0.71777,0.65463,0.67211,0.44744,2.57503,2.05254,2.08168,0.000801011,0.000801011,0.000801011
14,122.085,2.35388,1.94136,2.0097,0.66603,0.59664,0.63064,0.42746,2.5452,2.27221,2.06302,0.000792012,0.000792012,0.000792012
15,127.928,2.41166,1.95509,2.02097,0.62607,0.63456,0.66059,0.43467,2.57902,2.06158,2.06729,0.000783013,0.000783013,0.000783013
16,133.632,2.36957,1.83913,1.9915,0.71882,0.58977,0.67232,0.44341,2.60678,2.07772,2.0813,0.000774013,0.000774013,0.000774013
17,139.324,2.36707,1.88725,2.01534,0.67674,0.6286,0.69207,0.44533,2.5544,2.0417,2.06217,0.000765014,0.000765014,0.000765014
18,145.072,2.4094,1.92875,2.02666,0.63026,0.69307,0.68032,0.44724,2.5501,2.05472,2.05785,0.000756015,0.000756015,0.000756015
19,150.807,2.36871,1.87269,1.98244,0.62181,0.71665,0.67564,0.44732,2.58498,2.04319,2.07074,0.000747016,0.000747016,0.000747016
20,156.637,2.36027,1.90889,2.01531,0.60923,0.64799,0.64423,0.4241,2.61076,2.12409,2.09095,0.000738017,0.000738017,0.000738017
21,162.401,2.40609,1.92895,2.00538,0.59562,0.6772,0.66017,0.42951,2.58644,2.13234,2.07576,0.000729018,0.000729018,0.000729018
22,168.28,2.39045,1.87166,2.00958,0.74767,0.64488,0.68503,0.44495,2.57733,2.02588,2.06585,0.000720019,0.000720019,0.000720019
23,174.144,2.31855,1.86267,1.98941,0.59923,0.68785,0.67919,0.42707,2.61222,2.05453,2.07092,0.00071102,0.00071102,0.00071102
24,179.952,2.36339,1.88124,1.99458,0.58133,0.68048,0.64315,0.42388,2.55083,2.10902,2.06753,0.000702021,0.000702021,0.000702021
25,185.643,2.33903,1.85179,1.98249,0.60011,0.75023,0.67346,0.43683,2.54402,2.12357,2.04468,0.000693022,0.000693022,0.000693022
26,191.308,2.35304,1.8823,2.00312,0.61482,0.68052,0.6713,0.44988,2.60952,2.0792,2.0724,0.000684022,0.000684022,0.000684022
27,197.072,2.31444,1.85342,2.00043,0.70605,0.71636,0.65977,0.43934,2.56958,2.1309,2.06178,0.000675023,0.000675023,0.000675023
28,203.012,2.33187,1.89286,1.97974,0.67062,0.6874,0.65082,0.4335,2.59276,2.00863,2.07432,0.000666024,0.000666024,0.000666024
29,208.863,2.40753,1.89138,2.00869,0.64927,0.64949,0.67311,0.44119,2.57569,2.0514,2.07825,0.000657025,0.000657025,0.000657025
30,214.457,2.3522,1.87001,2.00313,0.71608,0.65416,0.67461,0.43164,2.59853,2.10144,2.09121,0.000648026,0.000648026,0.000648026
31,220.202,2.37122,1.87082,1.96705,0.71695,0.6585,0.68729,0.44884,2.52893,2.12077,2.06473,0.000639027,0.000639027,0.000639027
32,226.119,2.30894,1.82809,1.99289,0.74953,0.69128,0.69634,0.44359,2.54166,2.10325,2.06915,0.000630028,0.000630028,0.000630028
33,231.868,2.35949,1.85304,2.00408,0.70259,0.63967,0.67835,0.43926,2.57139,2.08723,2.07533,0.000621029,0.000621029,0.000621029
34,237.577,2.2474,1.80691,1.97188,0.67503,0.66546,0.67651,0.44669,2.53004,2.06793,2.07169,0.00061203,0.00061203,0.00061203
35,243.458,2.29829,1.79893,1.98323,0.74614,0.65177,0.68923,0.44867,2.52799,2.03333,2.06271,0.000603031,0.000603031,0.000603031
36,249.212,2.31159,1.78019,1.99196,0.74498,0.63422,0.68096,0.43861,2.60271,2.07089,2.10328,0.000594031,0.000594031,0.000594031
37,255.208,2.28046,1.77039,1.98052,0.66337,0.72574,0.67524,0.43257,2.57423,2.18078,2.07795,0.000585032,0.000585032,0.000585032
38,261.13,2.25895,1.79328,1.98802,0.58499,0.73109,0.65185,0.42358,2.59114,2.07621,2.06798,0.000576033,0.000576033,0.000576033
