epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.72415,3.17764,9.22539,2.3986,0.00896,0.21342,0.0616,0.04828,2.91067,7.42107,2.21177,0.00029561,0.00029561,0.00029561
2,15.7557,3.08568,6.93139,2.37373,0.91864,0.06767,0.11047,0.07947,2.81672,6.36831,2.35254,0.000592684,0.000592684,0.000592684
3,22.7574,3.16256,6.2603,2.31917,0.82097,0.09502,0.15233,0.09732,2.89472,5.65169,2.31838,0.000883758,0.000883758,0.000883758
4,29.6296,3.11075,5.82589,2.34,0.54363,0.2869,0.27326,0.19043,2.80245,3.64377,2.31745,0.000882003,0.000882003,0.000882003
5,36.4809,2.98263,5.54163,2.35419,0.75194,0.25632,0.3041,0.21913,2.92087,3.5036,2.33652,0.000873004,0.000873004,0.000873004
6,43.5065,2.98721,5.12123,2.32936,0.82752,0.22673,0.28939,0.19069,2.98063,3.52559,2.3663,0.000864004,0.000864004,0.000864004
7,50.5238,2.93007,4.65357,2.27064,0.8365,0.27556,0.30168,0.19787,2.86856,3.61676,2.30475,0.000855005,0.000855005,0.000855005
8,57.3644,2.98159,4.40211,2.31626,0.77874,0.31571,0.32989,0.22045,2.75496,3.02976,2.27518,0.000846006,0.000846006,0.000846006
9,64.4025,2.93993,4.01298,2.2354,0.60624,0.37776,0.33484,0.22828,2.74977,3.15372,2.21487,0.000837007,0.000837007,0.000837007
10,71.3794,2.8287,3.69916,2.20897,0.40675,0.41808,0.31422,0.19985,2.80881,2.96903,2.3357,0.000828008,0.000828008,0.000828008
11,78.3738,2.76289,3.49705,2.17436,0.46247,0.50538,0.41544,0.28033,2.63591,2.70375,2.08888,0.000819009,0.000819009,0.000819009
12,85.3053,2.78542,3.48474,2.1684,0.66823,0.38492,0.40095,0.25442,2.81516,2.70391,2.28738,0.00081001,0.00081001,0.00081001
13,92.1893,2.81957,3.29396,2.1965,0.44674,0.45065,0.4273,0.28012,2.73794,2.39661,2.22093,0.000801011,0.000801011,0.000801011
14,99.1118,2.73754,3.10765,2.1673,0.5046,0.44567,0.46798,0.30632,2.72552,2.60634,2.19173,0.000792012,0.000792012,0.000792012
15,106.069,2.74144,3.04468,2.16236,0.5355,0.41967,0.46404,0.30396,2.70784,2.76189,2.16167,0.000783013,0.000783013,0.000783013
16,112.979,2.64158,2.88137,2.11771,0.46887,0.44569,0.48253,0.33031,2.58945,2.32548,2.17243,0.000774013,0.000774013,0.000774013
17,120.091,2.64677,2.80693,2.15001,0.44355,0.57716,0.49022,0.33155,2.70291,2.47475,2.17592,0.000765014,0.000765014,0.000765014
18,127.04,2.70873,2.70591,2.16523,0.53639,0.5603,0.51638,0.34517,2.77218,2.36133,2.17155,0.000756015,0.000756015,0.000756015
19,134.014,2.71019,2.62811,2.12096,0.55238,0.60303,0.56179,0.36058,2.61486,2.26411,2.09436,0.000747016,0.000747016,0.000747016
