epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.1133,3.18128,9.23361,2.39813,0.00812,0.2487,0.05153,0.04096,2.82476,7.50085,2.22449,0.00029561,0.00029561,0.00029561
2,6.8931,3.09677,6.96164,2.36705,0.00848,0.32107,0.09864,0.06537,2.86278,6.46126,2.3161,0.000592684,0.000592684,0.000592684
3,9.68939,3.1412,6.32365,2.3208,0.78715,0.0768,0.18738,0.12,2.9984,5.18472,2.35898,0.000883758,0.000883758,0.000883758
4,12.4033,3.11569,5.9277,2.35916,0.68098,0.19668,0.20641,0.13145,2.99052,4.19247,2.49412,0.000882003,0.000882003,0.000882003
5,15.0957,2.97872,5.62699,2.3702,0.5576,0.31852,0.24614,0.16294,3.00468,3.60651,2.38734,0.000873004,0.000873004,0.000873004
6,17.7939,2.99996,5.17773,2.33449,0.58977,0.36931,0.28903,0.18528,2.83318,3.75613,2.40469,0.000864004,0.000864004,0.000864004
7,20.4989,2.93172,4.69991,2.26141,0.63111,0.27741,0.28853,0.18494,2.91669,3.74399,2.37031,0.000855005,0.000855005,0.000855005
8,23.0867,2.98377,4.41908,2.29341,0.59968,0.32846,0.33907,0.21129,2.87016,3.10506,2.30364,0.000846006,0.000846006,0.000846006
9,25.6751,2.933,4.0292,2.23385,0.6998,0.32403,0.3143,0.20453,2.7732,3.09263,2.28802,0.000837007,0.000837007,0.000837007
10,28.3338,2.82587,3.7567,2.2085,0.39322,0.47165,0.39799,0.27096,2.72779,4.12829,2.32094,0.000828008,0.000828008,0.000828008
11,31.0418,2.75972,3.50311,2.17966,0.53467,0.37019,0.38818,0.26219,2.80794,2.85045,2.20547,0.000819009,0.000819009,0.000819009
12,33.8888,2.82289,3.47401,2.18354,0.66098,0.41622,0.40412,0.26496,2.7696,2.62924,2.18948,0.00081001,0.00081001,0.00081001
13,36.6273,2.8283,3.31173,2.20355,0.7273,0.3863,0.45288,0.28539,2.70017,2.75208,2.10903,0.000801011,0.000801011,0.000801011
